Date:TEXT,Payee:TEXT,Address:TEXT,Amount:REAL
1/2/2025,MCDONALD'S F7026 EVERETT WA,EVERETT       WA,-8
1/2/2025,UNITED 0162447198764UNITED.COM TX,UNITED.COM    TX,-834.95
1/2/2025,MOD PIZZA SEATTLE CNTR SEATTLE WA,SEATTLE       WA,-10.56
1/2/2025,TST*MAMNOON Seattle WA,Seattle       WA,-140.32
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-9.38
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-8
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
1/2/2025,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
1/2/2025,SQ *SEATTLE : FACEPAINT Seattle WA,Seattle       WA,-26
1/3/2025,BARBICAN CENTRE LONDON,,-195.62
1/3/2025,DELIVEROO LONDON,,-31.03
1/3/2025,TTG* TimeOut London,,-138.38
1/3/2025,CREPERIE DE PARIS REDMOND WA,REDMOND       WA,-9.46
1/3/2025,CREPERIE DE PARIS REDMOND WA,REDMOND       WA,-34.22
1/3/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
1/3/2025,REGISTERED AGENT - WA SINGLEFILE.IOWA,SINGLEFILE.IO WA,-100
1/3/2025,SHAKE SHACK - 1230 KIRKLAND WA,KIRKLAND      WA,-26.11
1/4/2025,FAA MEDICAL EXAMS INC SEATTLE WA,SEATTLE       WA,-190
1/4/2025,QFC #5806 MERCER ISLANDWA,MERCER ISLAND WA,-133.49
1/4/2025,SQ *SUGAR BAKERY & CAFE Seattle WA,Seattle       WA,-10.69
1/4/2025,VM PARKING LINDEMAN SEATTLE WA,SEATTLE       WA,-7
1/6/2025,DELIVEROO LONDON,,-27.02
1/6/2025,DELIVEROO LONDON,,-57.64
1/6/2025,STANWOOD CINEMAS B&M STANWOOD WA,STANWOOD      WA,-59
1/6/2025,SQ *THAI THAI KITCHEN STAStanwood WA,Stanwood      WA,-157.03
1/6/2025,Scribd *589159419 415-2336230 CA,415-2336230   CA,-13.23
1/6/2025,DELIVEROO LONDON,,-25.98
1/7/2025,DELIVEROO LONDON,,-17.9
1/7/2025,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-136.69
1/7/2025,SQ *TAXI 306 Seattle WA,Seattle       WA,-38.4
1/7/2025,LOCALS ESPRESSO 3 STANWOOD WA,STANWOOD      WA,-3.47
1/7/2025,VIRGINIA MASON FRONT DESKSEATTLE WA,SEATTLE       WA,-95
1/7/2025,AMAZING CARPET AND TIL amazingcarpetCA,amazingcarpet CA,-880
1/7/2025,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-23.52
1/8/2025,TPD FIRST HILL 117 SEATTLE WA,SEATTLE       WA,-13.22
1/8/2025,AMATO DENTAL GROUP SEATTLE WA,SEATTLE       WA,-69.63
1/8/2025,METROPOLIS PARKING METROPOLIS.IOTN,METROPOLIS.IO TN,-9.99
1/8/2025,GEG RIVERSIDE CAFE 1118 SPOKANE WA,SPOKANE       WA,-36.37
