Posted Date,Reference Number,Payee,Address,Amount
02/21/2025,24333225052250242840253,"TPD JUANITA 119 KIRKLAND WA","KIRKLAND      WA ",-14.64
02/21/2025,24493985051077834008916,"SEATTLE MUNI INT #950003 800-950-1292 WA","800-950-1292  WA ",-246.60
02/21/2025,24692165051102581234347,"VMO*VIMEO.COM 848-359-5618 NY","848-359-5618  NY ",-119.02
02/21/2025,24000775051500018777056,"METROPOLIS PARKING METROPOLIS.IOTN","METROPOLIS.IO TN ",-9.99
02/20/2025,24445005050300332904353,"QFC #5806 MERCER ISLANDWA","MERCER ISLAND WA ",-40.31
02/20/2025,24054495050030040051339,"EASTSIDE MOBILE AUTO GLAS206-255-7827 WA","206-255-7827  WA ",-1024.78
02/19/2025,24427335049740274758944,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-6.90
02/19/2025,24137465049100235872894,"TST* EGG & US - ISSAQUAH ISSAQUAH WA","ISSAQUAH      WA ",-32.90
02/18/2025,74002735048101090526454,"BOOK SHOP JERUSALEM","",-56.50
02/18/2025,24036295048742420592920,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-67.88
02/18/2025,24036295048716416517331,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.00
02/18/2025,24240525048246497134741,"WSFERRIES-COLMAN DOCK SEATTLE WA","SEATTLE       WA ",-10.25
02/18/2025,24692165048109783297119,"TST*CAMANO COMMONS Camano IslandWA","Camano Island WA ",-20.98
02/17/2025,24941445047032204086687,"SLING.COM 888-363-1777 CO","888-363-1777  CO ",-12.99
02/17/2025,24011345046500104105987,"ZOOM.COM 888-799-9666 ZOOM.US CA","ZOOM.US       CA ",-165.19
02/17/2025,24692165046108173521932,"TST*CAMANO COMMONS Camano IslandWA","Camano Island WA ",-16.49
02/15/2025,24377355046000002642188,"ISLAND COUNTY CAMANO OUTBCAMANO ISLANDWA","CAMANO ISLAND WA ",-14.75
02/15/2025,24493985045075855395823,"SDOT PAYBYPHONE PARKING 206-684-5260 WA","206-684-5260  WA ",-0.50
02/15/2025,24692165045107390799769,"TST*FONDA LA CATRINA Seattle WA","Seattle       WA ",-160.33
02/14/2025,24793385045000096836021,"Garmin 800-5112459 ME","800-5112459   ME ",-16.47
02/14/2025,24717055044170445472100,"CORPORATE AIR CENTER BURLINGTON WA","BURLINGTON    WA ",-186.20
02/14/2025,24692165044106738526976,"SQ *ALL CITY COFFEE Seattle WA","Seattle       WA ",-9.86
02/14/2025,24906415044221867322096,"Netflix.com netflix.com CA","netflix.com   CA ",-17.07
02/13/2025,24692165044106292944722,"TST*TUTTA BELLA NEAPOLIT Seattle WA","Seattle       WA ",-65.83
02/13/2025,24427335043740274747059,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-4.99
02/13/2025,24427335043740274743918,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-8.73
02/13/2025,24427335043740274743025,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
02/13/2025,24013395043002505106835,"VM PARKING BUCK VALET SEATTLE WA","SEATTLE       WA ",-5.00
02/13/2025,24692165043106005171291,"SQ *TRUE NORTH BAKERY Burlington WA","Burlington    WA ",-18.88
02/13/2025,24639235043900010303072,"VIRGINIA MASON MEDICAL CE206-2236601 WA","206-2236601   WA ",-196.60
02/12/2025,24137465043600209154472,"TST* LOS CHILANGOS KIRKLAKIRKLAND WA","KIRKLAND      WA ",-63.78
02/12/2025,24717055042640424102573,"ARUGULA AND RYE DES MOINES IA","DES MOINES    IA ",-10.68
02/12/2025,24692165042105036542760,"FAIRFIELD INN & SUITES DES MOINES IA","DES MOINES    IA ",-152.32
02/12/2025,24692165042104854986837,"WICKER PARK SUSHI ORD CHICAGO IL","CHICAGO       IL ",-35.06
02/12/2025,24692165042104777357488,"SQ *GREEN CAB AIRPORT TAXMercer IslandWA","Mercer Island WA ",-77.04
02/11/2025,24431065042147733745617,"HUDSONNEWS ST1185 DES PLAINES IL","DES PLAINES   IL ",-39.71
02/11/2025,24692165041104020107251,"MANCHU WOK T1C ORD CHICAGO IL","CHICAGO       IL ",-15.63
02/10/2025,24036295041716314655529,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-33.74
02/10/2025,24692165041103756301724,"441 INSIDE THE BELTWAY LAS VEGAS DC","LAS VEGAS     DC ",-3.32
02/10/2025,24692165041103756301518,"441 INSIDE THE BELTWAY LAS VEGAS DC","LAS VEGAS     DC ",-15.14
02/10/2025,24692165040103415764131,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-14.67
02/10/2025,24431065040146475215724,"NANDO'S PERI PERI #028 WASHINGTON DC","WASHINGTON    DC ",-20.10
02/10/2025,24036295039712072621252,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-13.47
02/08/2025,24692165038101896867294,"GIANT 2381 WASHINGTON DC","WASHINGTON    DC ",-55.44
02/08/2025,24692165038101634554741,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-9.11
02/08/2025,24137465038100252220590,"BARNES & NOBLE #2867 ALEXANDRIA VA","ALEXANDRIA    VA ",-5.49
02/08/2025,24137465038100252220426,"BARNES & NOBLE #2867 ALEXANDRIA VA","ALEXANDRIA    VA ",-17.42
02/08/2025,24137465038100252220343,"BARNES & NOBLE #2867 ALEXANDRIA VA","ALEXANDRIA    VA ",-7.19
02/08/2025,24137465038100252220269,"BARNES & NOBLE #2867 ALEXANDRIA VA","ALEXANDRIA    VA ",-74.17
02/08/2025,24137465038100252220186,"BARNES & NOBLE #2867 ALEXANDRIA VA","ALEXANDRIA    VA ",-44.51
02/07/2025,24692165038101337064907,"TST*YELLOW - UNION MARKE Washington DC","Washington    DC ",-21.39
02/07/2025,24692165038101337064790,"TST*YELLOW - UNION MARKE Washington DC","Washington    DC ",-102.41
02/07/2025,24137465038001562912050,"WHOLEFDS HST#10565 WASHINGTON DC","WASHINGTON    DC ",-68.60
02/07/2025,74941355038080768107131,"AVIS.COM PREPAY 800-352-7900 VA","800-352-7900  VA ",72.54
02/07/2025,24692165037100806046248,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-10.12
02/07/2025,24137465037500848427362,"TST* STARR - PASTIS DC WASHINGTON DC","WASHINGTON    DC ",-480.40
02/06/2025,24692165036109943405812,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-9.49
02/06/2025,24204295036001645972072,"Scribd *589159419 415-2336230 CA","415-2336230   CA ",-13.23
02/06/2025,24137465036500799229313,"TST* TATTE BAKERY CITY CEWASHINGTON DC","WASHINGTON    DC ",-40.85
02/05/2025,24011345035500069888059,"LYFT *CAPITALBIKE RI LYFT.COM CA","LYFT.COM      CA ",-4.90
02/05/2025,24692165035109105302063,"AMZN Mktp US*Z771R4XP0 Amzn.com/billWA","Amzn.com/bill WA ",-601.66
02/04/2025,24011345035500037897513,"AMAZON RETA* JQ1G71GN3 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-13.38
02/04/2025,24941355035079681133420,"AVIS.COM PREPAY 8003527900 VA","8003527900    VA ",-122.54
02/04/2025,24445005034300381734538,"FSP*EASTSIDE LIMOUSINE 425-558-4755 WA","425-558-4755  WA ",-102.00
02/04/2025,24692165034108513440870,"SQ *SWING'S COFFEE ROASTEAlexandria VA","Alexandria    VA ",-9.71
02/03/2025,74580005033275901249020,"MPS*THE ISRAELI CENT RAMAT HA'SHAR","",-50.39
02/03/2025,24692165033107654416542,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-8.54
02/03/2025,24036295033714151629772,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-60.39
02/03/2025,24692165033107471816890,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-5.28
02/03/2025,24692165033107468575269,"SQ *SIDAMO COFFEE AND TEAWashington DC","Washington    DC ",-3.85
02/03/2025,24036295033718143683722,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-13.00
02/03/2025,24036295033714114425318,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-65.00
02/03/2025,24793385033002835491062,"Mount Vernon Mount Vernon VA","Mount Vernon  VA ",-71.00
02/03/2025,24445005032300422457190,"FSP*EASTSIDE LIMOUSINE 425-558-4755 WA","425-558-4755  WA ",-102.00
02/01/2025,24427335031740291083722,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-4.42
02/01/2025,24011345032500037046270,"DIGITALOCEAN.COM DIGITALOCEAN.NY","DIGITALOCEAN. NY ",-13.22
02/01/2025,24137465031100258009796,"TST* BEECHER'S HANDMADE CBELLEVUE WA","BELLEVUE      WA ",-16.26
02/01/2025,24137465031100258009614,"TST* BEECHER'S HANDMADE CBELLEVUE WA","BELLEVUE      WA ",-45.15
02/01/2025,24445005031500423718109,"AT *KIDSQUEST CHILD'S MUSBELLEVUE WA","BELLEVUE      WA ",-225.00
01/31/2025,24493985031071205522576,"SEATTLE CENTER MERCER SEATTLE WA","SEATTLE       WA ",-45.00
01/31/2025,24692165030104835948272,"STARBUCKS STORE 03278 BELLEVUE WA","BELLEVUE      WA ",-4.85
01/31/2025,24692165030104702291459,"TST*TUTTA BELLA NEAPOLIT Seattle WA","Seattle       WA ",-123.86
01/31/2025,24692165030104699210793,"TST*CAMANO COMMONS Camano IslandWA","Camano Island WA ",-11.36
01/31/2025,24692165030104699210785,"TST*CAMANO COMMONS Camano IslandWA","Camano Island WA ",-16.81
01/30/2025,24943005030140476248502,"RITE AID 05197 MERCER ISLANDWA","MERCER ISLAND WA ",-53.70
01/28/2025,24692165028102781976705,"SQ *THAI THAI KITCHEN STAStanwood WA","Stanwood      WA ",-198.51
01/28/2025,24064665027500010063007,"HERZL NERTAMID H-NT.SHULCLOUWA","H-NT.SHULCLOU WA ",-45.00
01/27/2025,24793385027001005009090,"Garmin 800-5112459 ME","800-5112459   ME ",-13.17
01/27/2025,24793385026000304871094,"Garmin 800-5112459 ME","800-5112459   ME ",-13.17
01/27/2025,24492165025500022818922,"OPENAI *CHATGPT SUBSCR OPENAI.COM CA","OPENAI.COM    CA ",-22.04
01/25/2025,24427335024740288403163,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-238.41
01/25/2025,24116415025222785627227,"KOZA TURKISH GROCERY KIRKLAND WA","KIRKLAND      WA ",-69.92
01/25/2025,24692165024102894959634,"SQ *SHAWN'S CAFE & BAKERYMercer IslandWA","Mercer Island WA ",-19.84
01/25/2025,24692165024102828980177,"SQ *LA FETE PATISSERIE Mercer IslandWA","Mercer Island WA ",-8.00
01/24/2025,24427335023740279350994,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-41.03
01/24/2025,24427335023740279344781,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
01/24/2025,24692165023102008165657,"SQ *LA FETE PATISSERIE Mercer IslandWA","Mercer Island WA ",-18.69
