Posted Date,Reference Number,Payee,Address,Amount
01/20/2025,74208475014000006916087,"FRAUD DISPUTE","",23.17
01/20/2025,74208475015000007617063,"FRAUD DISPUTE","",23.65
01/18/2025,74208475015000007968094,"FRAUD DISPUTE","",14.70
01/16/2025,01683204320011600050330,"PAYMENT - THANK YOU","",6962.51
01/16/2025,74350475015502366815085,"THE KENSINGTON CREPERI LONDON","",-10.35
01/16/2025,74208475015000009724065,"DELIVEROO LONDON","",-41.28
01/16/2025,74208475015000007968094,"DELIVEROO LONDON","",-14.70
01/16/2025,74208475015000007617063,"DELIVEROO LONDON","",-23.65
01/16/2025,74163615015694422301859,"TFL TRAVEL CH TFL.GOV.UK/CP","",-10.42
01/16/2025,24941445016028260089182,"SLING.COM 888-363-1777 CO","888-363-1777  CO ",-10.00
01/15/2025,74007065015910023189628,"VICTORIA&ALBERT MUSEUM LONDON","",-21.76
01/15/2025,74830505014110271936403,"PAUL ST PAULS LONDON","",-11.98
01/15/2025,74208475014500010016550,"LONDON THEATRE DIRECT LONDON","",-178.46
01/15/2025,74163615014694146579948,"TFL TRAVEL CH TFL.GOV.UK/CP","",-3.30
01/15/2025,74208475014000006916087,"DELIVEROO LONDON","",-23.17
01/15/2025,74950505014104257130655,"APPLE UK R329 LONDON","",-615.37
01/14/2025,74163615014693939831508,"WAITROSE 641 KNIGHTSBRIDGE","",-25.70
01/14/2025,74208475013000013074319,"DELIVEROO LONDON","",-23.48
01/14/2025,24793385014000902614023,"Garmin 800-5112459 ME","800-5112459   ME ",-16.47
01/14/2025,74541095014083549565332,"ZETTLE_*SCOTT WOLSEY BARNET","",-35.76
01/13/2025,24002845013000421369142,"Netflix 1 8445052993 CA","1 8445052993  CA ",-17.07
01/13/2025,74163615013693816619993,"TFL TRAVEL CH TFL.GOV.UK/CP","",-9.99
01/13/2025,74208475012000012711045,"DELIVEROO LONDON","",-23.42
01/13/2025,74875305012001819423025,"N.O.T. UK LIMITED LONDON","",-5.43
01/13/2025,74541095013083516251651,"TXW*LONDON TAXI 75240 GLASGOW","",-34.78
01/13/2025,24335495012900013375584,"MY CHOICE SOFTWARE LLC 800-3181439 CA","800-3181439   CA ",-229.99
01/13/2025,74163615012693630444041,"TFL TRAVEL CH TFL.GOV.UK/CP","",-6.66
01/13/2025,74163615012693511253339,"WAITROSE 641 KNIGHTSBRIDGE","",-22.48
01/13/2025,74163615011693361095716,"TFL TRAVEL CH TFL.GOV.UK/CP","",-3.45
01/11/2025,74208475011000005759606,"DELIVEROO LONDON","",-31.22
01/10/2025,74208475009000013330063,"DELIVEROO LONDON","",-27.03
01/10/2025,24445005009300374370408,"FSP*EASTSIDE LIMOUSINE 425-558-4755 WA","425-558-4755  WA ",-96.00
01/10/2025,24692165009100317258195,"TST*TUTTA BELLA NEAPOLIT Seattle WA","Seattle       WA ",-134.91
01/09/2025,74208475009500002752649,"DELIVEROO LONDON","",-43.57
01/09/2025,24427335008740277905780,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
01/09/2025,00806005720001383619204,"Online payment from CHK 9942","",6962.51
01/08/2025,24333225008206121141572,"TPD FIRST HILL 117 SEATTLE WA","SEATTLE       WA ",-13.22
01/08/2025,24055225007205741529460,"AMATO DENTAL GROUP SEATTLE WA","SEATTLE       WA ",-69.63
01/08/2025,24000775007500008387721,"METROPOLIS PARKING METROPOLIS.IOTN","METROPOLIS.IO TN ",-9.99
01/08/2025,24755425007150078800069,"GEG RIVERSIDE CAFE 1118 SPOKANE WA","SPOKANE       WA ",-36.37
01/07/2025,74208475007000000438350,"DELIVEROO LONDON","",-17.90
01/07/2025,24036295007744215603945,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-136.69
01/07/2025,24692165007108412069856,"SQ *TAXI 306 Seattle WA","Seattle       WA ",-38.40
01/07/2025,24431065007126377005887,"LOCALS ESPRESSO 3 STANWOOD WA","STANWOOD      WA ",-3.47
01/07/2025,24047555006900014804002,"VIRGINIA MASON FRONT DESKSEATTLE WA","SEATTLE       WA ",-95.00
01/07/2025,24492165006000017512443,"AMAZING CARPET AND TIL amazingcarpetCA","amazingcarpet CA ",-880.00
01/07/2025,24692165006107824084389,"TST*CAMANO COMMONS Camano IslandWA","Camano Island WA ",-23.52
01/06/2025,74208475005000014878205,"DELIVEROO LONDON","",-27.02
01/06/2025,74208475005500009954739,"DELIVEROO LONDON","",-57.64
01/06/2025,24013395005001020125730,"STANWOOD CINEMAS B&M STANWOOD WA","STANWOOD      WA ",-59.00
