Date:TEXT,Payee:TEXT,Address:TEXT,Amount:TEXT
2025-01-02,MCDONALD'S F7026 EVERETT WA,EVERETT       WA,-8
2025-01-02,UNITED 0162447198764UNITED.COM TX,UNITED.COM    TX,-834.95
2025-01-02,MOD PIZZA SEATTLE CNTR SEATTLE WA,SEATTLE       WA,-10.56
2025-01-02,TST*MAMNOON Seattle WA,Seattle       WA,-140.32
2025-01-02,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-9.38
2025-01-02,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-01-02,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-8
2025-01-02,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-01-02,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
2025-01-02,SQ *SEATTLE : FACEPAINT Seattle WA,Seattle       WA,-26
2025-01-03,BARBICAN CENTRE LONDON,,-195.62
2025-01-03,DELIVEROO LONDON,,-31.03
2025-01-03,TTG* TimeOut London,,-138.38
2025-01-03,CREPERIE DE PARIS REDMOND WA,REDMOND       WA,-9.46
2025-01-03,CREPERIE DE PARIS REDMOND WA,REDMOND       WA,-34.22
2025-01-03,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-01-03,REGISTERED AGENT - WA SINGLEFILE.IOWA,SINGLEFILE.IO WA,-100
2025-01-03,SHAKE SHACK - 1230 KIRKLAND WA,KIRKLAND      WA,-26.11
2025-01-04,FAA MEDICAL EXAMS INC SEATTLE WA,SEATTLE       WA,-190
2025-01-04,QFC #5806 MERCER ISLANDWA,MERCER ISLAND WA,-133.49
2025-01-04,SQ *SUGAR BAKERY & CAFE Seattle WA,Seattle       WA,-10.69
2025-01-04,VM PARKING LINDEMAN SEATTLE WA,SEATTLE       WA,-7
2025-01-06,DELIVEROO LONDON,,-27.02
2025-01-06,DELIVEROO LONDON,,-57.64
2025-01-06,STANWOOD CINEMAS B&M STANWOOD WA,STANWOOD      WA,-59
2025-01-06,SQ *THAI THAI KITCHEN STAStanwood WA,Stanwood      WA,-157.03
2025-01-06,Scribd *589159419 415-2336230 CA,415-2336230   CA,-13.23
2025-01-06,DELIVEROO LONDON,,-25.98
2025-01-07,DELIVEROO LONDON,,-17.9
2025-01-07,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-136.69
2025-01-07,SQ *TAXI 306 Seattle WA,Seattle       WA,-38.4
2025-01-07,LOCALS ESPRESSO 3 STANWOOD WA,STANWOOD      WA,-3.47
