Payee:TEXT,Amount:REAL,tag:TEXT
405 WSDOT AVIATION 866-936-8246 WA,145.0,Aircraft
441 INSIDE THE BELTWAY LAS VEGAS DC,18.5,Miscellaneous
6116_MMW_LAS Las Vegas NV,8.0,Miscellaneous
76 - GURANAND 3 INC SEATTLE WA,82.9,Miscellaneous
8991 GREAT CLIPS AT ISLANMERCER ISLANDWA,33.0,Miscellaneous
ABC #104 LV LAS VEGAS NV,6.2,Miscellaneous
ACE PARKING 3286 BELLVUE WA,8.0,Miscellaneous
ACE PARKING 3288 SEATTLE WA,7.0,Miscellaneous
ACE PARKING 3381 SEATTLE WA,7.0,Miscellaneous
AEROMEXICO C1392159310735CUAUHT MOC,488.3,Other Airline
AEROMEXICO C1392159310736CUAUHT MOC,488.3,Other Airline
AEROMEXICO C1392160815696CUAUHT MOC,326.3,Other Airline
AEROMEXICO C1392160816127CUAUHT MOC,285.4,Other Airline
AEROMEXICO C1392160816128CUAUHT MOC,285.4,Other Airline
AEROMEXICO C1392160816356CUAUHT MOC,803.0,Other Airline
AEROMEXICO C1392160816357CUAUHT MOC,803.0,Other Airline
AF/GIRLSCOUTPRODUCT 800-274-3666 WI,86.0,Miscellaneous
AIRBNB * HM2P8HBQSQ AIRBNB.COM CA,1113.3,Lodging
AIRBNB * HMKA5DQB4S AIRBNB.COM CA,952.1,Lodging
AIRBNB * HMRAP3QMSC AIRBNB.COM CA,5018.6,Lodging
AIRBNB * HMSNQAB3MZ AIRBNB.COM CA,2071.4,Lodging
AIRBNB * TAQJ5EJP AIRBNB.COM CA,271.8,Lodging
AIRCRAFT & PILOT ASSN WWW.AOPA.ORG MD,89.0,Miscellaneous
AIRGARAGE PARKING AIRGARAGE.COMCA,45.6,Miscellaneous
ALASKA AIR 0272100527177SEATTLE WA,516.6,Other Airline
ALASKA AIR 0272100527178SEATTLE WA,516.6,Other Airline
ALASKA AIR 0272100527179SEATTLE WA,516.6,Other Airline
ALASKA AIR 0272100527180SEATTLE WA,516.6,Other Airline
ALASKA AIR 0272100527181SEATTLE WA,516.6,Other Airline
ALASKA AIR 0272100529653SEATTLE WA,386.6,Other Airline
ALASKA AIR 0272100529654SEATTLE WA,386.6,Other Airline
ALASKA AIR 0272100529655SEATTLE WA,386.6,Other Airline
ALASKA AIR 0272100529836SEATTLE WA,198.3,Other Airline
ALASKA AIR 0272105545190SEATTLE WA,548.3,Other Airline
ALASKA AIR 0272105742625SEATTLE WA,1946.6,Other Airline
ALASKA AIR 0272111447638SEATTLE WA,955.2,Other Airline
ALASKA AIR 0272111447639SEATTLE WA,955.2,Other Airline
ALASKA AIR 0272111689770SEATTLE WA,323.3,Other Airline
ALASKA AIR 0272111689852SEATTLE WA,278.3,Other Airline
ALASKA AIR 0272111709291SEATTLE WA,876.6,Other Airline
ALASKA AIR 0272115262020SEATTLE WA,308.3,Other Airline
ALASKA AIR 0272115262021SEATTLE WA,308.3,Other Airline
ALASKA AIR 0272115502675SEATTLE WA,598.3,Other Airline
ALASKA AIR 0272116003259SEATTLE WA,268.3,Other Airline
ALASKA AIR 0272117210133SEATTLE WA,864.0,Other Airline
ALASKA AIR 0272117210134SEATTLE WA,864.0,Other Airline
ALASKA AIR 0272122595524SEATTLE WA,877.6,Other Airline
ALASKA AIR 0272122595527SEATTLE WA,877.6,Other Airline
