Date:TEXT,Payee:TEXT,Address:TEXT,Amount:REAL
1/2/2025,MCDONALD'S F7026 EVERETT WA,EVERETT       WA,-8
1/2/2025,UNITED 0162447198764UNITED.COM TX,UNITED.COM    TX,-834.95
1/2/2025,MOD PIZZA SEATTLE CNTR SEATTLE WA,SEATTLE       WA,-10.56
1/2/2025,TST*MAMNOON Seattle WA,Seattle       WA,-140.32
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-9.38
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-8
1/2/2025,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
1/2/2025,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
1/2/2025,SQ *SEATTLE : FACEPAINT Seattle WA,Seattle       WA,-26
1/3/2025,BARBICAN CENTRE LONDON,,-195.62
